# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-2, 1, -1), generated 2026-09-08.
# 1940 points.
12.467924|44.791808|147.6184|#FFF3E6|0.646|gaia-1541667932396172416|HD 108575
12.467825|44.79429|147.8793|#FCF3EF|0.691|gaia-1541667932396172800|HD 108574
12.696367|43.712531|148.1402|#FFD3A4|0.441|gaia-1540496471477289984|StKM 1-1031
12.258695|46.504025|148.8578|#F8F2F6|0.12|gaia-1545050717357814272|LP 170-80
13.516889|42.983039|149.2165|#FFE6C7|0.533|gaia-1549393341611271680|BD+43 2337
12.27112|48.280047|151.0756|#FFBA83|0.12|gaia-1545640399194801792|LP 170-82
13.180894|41.919838|151.2387|#FFB881|0.12|gaia-1525936154386850432|Gaia DR3 1525936154386850432
12.202444|41.668104|151.5323|#FFB179|0.12|gaia-1536660408550214400|2MASS J12120905+4140037
12.696478|43.713113|152.152|#D8D4C8|0.3|gaia-1540496471477290368|StKM 1-1031B
13.429999|44.493387|152.3803|#D8D4C8|0.355|gaia-1549775731138150400|Gaia DR3 1549775731138150400
12.570885|48.218643|152.739|#FFBD87|0.247|gaia-1543835757012729088|2MASS J12341542+4813070
12.498341|41.404203|153.0978|#FFBD87|0.139|gaia-1534764820439149184|LP 217-25
13.180899|41.919614|153.3261|#FFB780|0.12|gaia-1525936150089358592|Gaia DR3 1525936150089358592
12.274144|44.854908|153.848|#FFB27A|0.12|gaia-1538877028287217536|LP 170-83
12.119412|49.363582|153.8806|#FFC08A|0.237|gaia-1546553577958867712|2MASS J12070976+4921513
13.320097|45.646792|153.9458|#FFB37C|0.12|gaia-1550643314534132480|Gaia DR3 1550643314534132480
12.588131|44.84628|153.9784|#FFF2E2|0.12|gaia-1541537056152533504|GALEX J123517.1+445046
12.588121|44.845454|154.1089|#FFBA83|0.12|gaia-1541537056152533376|2MASS J12351700+4450437
12.188693|49.354526|154.1741|#FFC08A|0.242|gaia-1546590961353404160|LSPM J1211+4921N
12.415377|42.224414|154.3046|#D8D4C8|0.12|gaia-1535001112359882880|G 123-30B
12.557283|40.404287|156.7834|#FFE1BD|0.513|gaia-1533902734603764736|BD+41 2303
12.263802|41.937612|157.3052|#FFB078|0.12|gaia-1536624163321018752|Gaia DR3 1536624163321018752
12.597997|48.431834|157.664|#FFBD87|0.138|gaia-1543818989460325248|UCAC4 693-053288
12.654593|40.673229|157.664|#FFBE88|0.168|gaia-1534065393605348864|G 123-50
12.338288|44.239532|157.6966|#F5F1FD|0.12|gaia-1538625407627245056|LP 171-7
13.063488|41.863074|157.7945|#FFBA84|0.12|gaia-1527510036562139136|Gaia DR3 1527510036562139136
12.495213|42.615587|157.9575|#FFBE88|0.184|gaia-1535255614941911680|UCAC4 664-057401
12.415382|42.224905|158.3163|#FFC08A|0.22|gaia-1535001112359221888|G 123-30A
13.421517|42.699023|159.36|#FFEDD5|0.564|gaia-1549521125478552064|BD+43 2328
13.423207|42.691248|159.3926|#FFD4A7|0.425|gaia-1549520949383005568|StKM 1-1067
13.32029|45.086563|159.9797|#BECFFF|0.18|gaia-1550602907481860480|EGGR 188
12.851652|44.050836|160.1428|#C7D5FF|0.12|gaia-1528861748669458432|SDSS J125106.11+440303.0
13.383422|47.526821|160.3059|#FFC08A|0.245|gaia-1552717577579331584|2MASS J13230056+4731359
13.853431|42.105859|160.4689|#FFB881|0.12|gaia-1501969480959601792|Gaia DR3 1501969480959601792
12.453185|40.662701|160.5342|#FFB37C|0.12|gaia-1534625388620998656|LP 217-18
12.838343|47.644065|160.7951|#FFB982|0.12|gaia-1543196562798475904|LSPM J1250+4738
12.145832|44.209174|161.4474|#FFB27A|0.12|gaia-1539187331083898368|Gaia DR3 1539187331083898368
14.273356|39.744739|162.1323|#F5F1FD|0.784|gaia-1485694750364098304|HD 125111
12.744686|39.784135|162.6216|#FFAA71|0.12|gaia-1521779278877419008|LSPM J1244+3947
14.040223|42.447847|162.8825|#FFC591|0.302|gaia-1499215032533749888|UCAC4 663-059265
12.363402|40.721663|162.9477|#FFB780|0.12|gaia-1533360774158407680|LP 216-99
13.705628|41.897104|163.013|#FFBD87|0.179|gaia-1500641064755179904|2MASS J13422018+4153500
12.731527|51.057462|163.1434|#FFC18B|0.195|gaia-1568172587897243264|G 199-35
12.967837|50.245992|163.437|#EAEBFF|0.12|gaia-1555883930548870400|GD 321
12.680444|38.69365|163.5348|#FFD5A8|0.458|gaia-1521316521921220608|G 123-51
13.078466|49.19922|163.6|#FFBB85|0.132|gaia-1555578575554707200|2MASS J13044248+4911563
12.347777|40.111808|163.6653|#FFC08A|0.224|gaia-1533237152111405696|G 123-23
13.738375|37.997511|164.2524|#FFB179|0.12|gaia-1496603039583010432|LP 269-48
14.010561|39.284373|164.4154|#FFBA84|0.15|gaia-1496036791094488192|LP 220-24
13.113638|37.344359|165.133|#FFBB85|0.134|gaia-1522550895522624384|LP 268-30
13.945734|43.29439|165.133|#FFBE88|0.18|gaia-1499506540553955072|2MASS J13564478+4317400
12.997326|42.977988|165.2961|#FFC18C|0.244|gaia-1527821851187635200|UCAC4 665-058218
14.399013|41.719792|165.8831|#FFBB84|0.135|gaia-1492012406738161408|2MASS J14235662+4143103
12.014567|40.306146|165.9484|#FFA66C|0.12|gaia-4034898264494318720|2MASS J12005257+4018226
13.125918|41.981441|166.1114|#FFC38F|0.281|gaia-1528974517331523072|LP 218-52
12.189033|52.569231|166.1441|#FFBB85|0.12|gaia-1548847257993339648|Gaia DR3 1548847257993339648
13.139608|37.513631|166.1441|#FFB983|0.12|gaia-1522650985440544640|2MASS J13082252+3730489
14.069829|37.369103|167.1225|#FFF1DF|0.622|gaia-1483798470763021568|HD 122968
13.112765|38.124789|167.2856|#FFC590|0.304|gaia-1522762036114888192|Gaia DR3 1522762036114888192
13.780572|41.351562|167.5139|#FFB882|0.12|gaia-1500375738855814912|LP 219-66
12.016607|46.584972|167.8401|#FFAD74|0.12|gaia-1540041101863221248|2MASS J12010000+4635067
12.076862|47.988593|167.9705|#FFC08B|0.263|gaia-1546194931011406080|2MASS J12043672+4759211
13.051891|46.104329|168.0684|#FFBC86|0.12|gaia-1530070936582534784|LP 172-34
14.395831|38.494318|168.101|#FFBB84|0.145|gaia-1484669627569595904|2XMM J142345.1+382939
13.144478|44.446167|168.4924|#FFE0B9|0.485|gaia-1529603541061540224|LP 172-45
13.581302|45.447175|168.5902|#FFB37C|0.12|gaia-1551511756921647872|LP 173-18
13.027683|50.409169|168.8185|#FFBF89|0.18|gaia-1557212209314805120|G 177-12
13.62052|43.19191|168.8512|#FFB780|0.12|gaia-1501709102862634752|LSPM J1337+4311
13.826313|39.963786|169.0795|#FFB67E|0.12|gaia-1497193339887967616|Gaia DR3 1497193339887967616
14.059181|43.247816|169.3078|#FFB780|0.12|gaia-1499353536639275008|LP 220-32
12.019913|52.592321|169.3404|#FFB078|0.12|gaia-1548669931680903808|Gaia DR3 1548669931680903808
12.908104|39.332729|169.4382|#FFC590|0.321|gaia-1526797209429429632|PM J12544+3919
13.941733|40.5499|169.5035|#FFC591|0.308|gaia-1497094418201167744|G 165-36
13.214079|49.170684|169.6339|#FFBA83|0.12|gaia-1556097373243596800|UCAC4 696-053580
13.770385|41.088554|169.7318|#E4E8FF|0.826|gaia-1500347838748255360|HD 120047
12.467483|37.127257|169.8622|#FFA96E|0.12|gaia-1519401756781087104|2MASS J12280302+3707394
12.441005|50.699763|169.8949|#D8D4C8|0.277|gaia-1547696898247569920|HD 233942B
13.128316|49.641851|169.9601|#FFB47C|0.12|gaia-1556364863806905728|LP 172-42
12.922265|38.03488|170.0906|#D8D4C8|0.12|gaia-1517659683688377472|LP 218-17 B
13.228032|46.476019|170.1884|#FFF4E9|0.63|gaia-1553928002443708160|HD 115020
13.307882|39.152476|170.1884|#FFB982|0.128|gaia-1524496240830395520|LP 218-77
13.020415|40.95105|170.3189|#FFC894|0.304|gaia-1527364179471760384|G 123-82
12.773786|50.883461|170.3841|#FFBE88|0.137|gaia-1568111805519993856|LP 131-58
12.922284|38.034784|170.5146|#FFB983|0.12|gaia-1517659683687785856|LP 218-17 A
14.233475|38.711371|170.5146|#FFA76D|0.12|gaia-1485252776753298944|2MASS J14140078+3842365
13.020348|40.949968|170.6776|#FFB47C|0.12|gaia-1527364076393106304|G 123-82B
13.307917|39.152108|170.7755|#FFBB85|0.132|gaia-1524496240830395392|LP 218-78
13.988751|43.332438|170.8081|#FFBD87|0.166|gaia-1499451187015487488|LP 220-21
14.031838|42.395091|170.8081|#FFEED9|0.12|gaia-1499209530679741184|SDSS J140154.79+422342.2
14.500823|37.420977|170.9386|#FFB078|0.12|gaia-1481330067158465024|LP 271-29
12.53366|43.061615|170.9712|#FFBD87|0.157|gaia-1535329076062651264|LP 217-32
13.04565|46.640135|171.2321|#FFBB84|0.12|gaia-1554118355394425728|LSPM J1302+4638
12.413318|47.443251|171.2973|#FFBF89|0.217|gaia-1545439566522747648|UCAC4 688-054349
12.676954|48.315756|171.3299|#FFAC73|0.12|gaia-1543438455357214208|2MASS J12403705+4818556
14.007493|44.125805|171.8844|#FFC591|0.27|gaia-1499638138352255104|G 200-13
13.395299|42.536026|172.0801|#FFD0A0|0.394|gaia-1525508100765720576|TYC 3031-50-1
13.605523|36.809283|172.0801|#FEF4E9|0.12|gaia-1472094341284011904|LP 269-25
13.491485|46.563059|172.3084|#FFBA83|0.12|gaia-1551854220433504512|2MASS J13292963+4633482
13.294436|44.677646|172.5367|#FFD7AB|0.449|gaia-1550495292781580800|TYC 3024-1829-1
12.818978|41.957607|172.6672|#FFBA84|0.12|gaia-1528191733769486720|2MASS J12490872+4157286
12.271574|37.07612|172.7324|#FFA469|0.12|gaia-4030344297785870720|2MASS J12161781+3704346
12.834924|40.419196|172.8303|#FFBA84|0.134|gaia-1527851778520521472|LP 217-80
13.189931|36.452709|172.8955|#FFC591|0.378|gaia-1474317034102926720|PM J13113+3627
12.634078|35.817655|172.9933|#FFBB84|0.12|gaia-1518620863007198976|LP 267-89
12.44649|37.356132|173.0912|#FFCE9E|0.394|gaia-1531429829872914688|PM J12267+3721A
12.797988|41.491672|173.0912|#FFB47C|0.12|gaia-1528154487814657920|LP 217-76
13.289815|48.552743|173.0912|#FFBF89|0.181|gaia-1556006319937034624|UCAC4 693-053756
12.91512|51.832983|173.1238|#FFBA84|0.191|gaia-1569544950207067136|2MASS J12545441+5149576
13.6973|38.689162|173.189|#FFBB84|0.148|gaia-1496695570358317696|UCAC4 644-050287
12.522068|36.086393|173.2543|#FFC792|0.292|gaia-1519100215717160704|UCAC4 631-049009
12.154453|42.481663|173.3195|#FFF2E4|0.638|gaia-1537446941616138368|HD 105585
12.507829|39.350177|173.5478|#FFCF9F|0.407|gaia-1532253776399535104|PM J12304+3921
12.980003|38.566325|173.5478|#FFC590|0.265|gaia-1523658412970186496|G 123-78
13.025197|38.318447|173.7109|#FFAF76|0.12|gaia-1523469571848025728|Gaia DR3 1523469571848025728
12.88732|37.203922|173.7761|#FFC996|0.348|gaia-1517514028459524736|TYC 2533-90-1
12.440978|50.699672|173.874|#FFDBB2|0.506|gaia-1547696898249913088|HD 233942
14.031971|36.850991|173.9718|#FFB881|0.12|gaia-1483667628879514112|LP 270-29
12.989101|35.126283|174.0044|#FFE3C1|0.515|gaia-1516309139811124224|BD+35 2388
14.294722|43.464722|174.2001|#FFBD87|0.216|gaia-1504405689489608832|LP 220-74
14.605891|36.512017|174.2327|#FFB37C|0.12|gaia-1486285325546785408|2MASS J14362117+3630433
12.871755|46.777912|174.298|#FFF4E8|0.64|gaia-1531051632235916928|HD 111938
13.653296|45.994246|174.3632|#FFB780|0.12|gaia-1503599197710694272|Gaia DR3 1503599197710694272
12.065917|39.301649|174.461|#FFCB98|0.328|gaia-4034035186521645952|Gaia DR3 4034035186521645952
12.166611|37.856805|174.6567|#FFD2A3|0.433|gaia-4030658929909844480|NGP 38 62
12.371375|48.430264|174.6894|#FFDDB5|0.506|gaia-1545553602192826240|MCC 651
13.825917|38.992217|174.9829|#FFBA84|0.126|gaia-1496575414353574656|LP 219-73
14.341995|44.968156|174.9829|#FFD9AD|0.48|gaia-1504988460715344768|StKM 1-1147
13.429432|37.925394|175.0481|#FFD3A5|0.434|gaia-1476110479303677952|StKM 1-1068
12.44648|37.35601|175.1134|#FFCF9E|0.397|gaia-1531429829872914816|PM J12267+3721B
12.314446|42.075335|175.2112|#FFB179|0.12|gaia-1536543722878629888|2MASS J12185191+4204314
13.893446|46.68107|175.2112|#FFC08A|0.25|gaia-1509074593817942400|UCAC4 684-053623
13.74709|37.885404|175.3091|#FFC28D|0.265|gaia-1496410831206731392|LSPM J1344+3753
13.007631|39.937629|175.3743|#FFBD87|0.18|gaia-1526897471146296960|LP 218-30
12.667578|40.595629|175.4721|#FFDAAF|0.12|gaia-1534049549469960192|LSPM J1240+4035
13.663229|34.926061|175.57|#FFF3E6|0.12|gaia-1470926586919626880|LP 269-37
12.136928|47.20425|175.6678|#FFB37B|0.12|gaia-1545937164248560384|LP 170-60
12.255664|49.096061|175.9614|#FFBB84|0.157|gaia-1545830236746573696|UCAC4 696-052867
13.641663|47.52261|176.2223|#FFB983|0.145|gaia-1552114289292809472|2MASS J13382996+4731207
13.076642|49.551685|176.5158|#FFB780|0.12|gaia-1555624342725664384|Gaia DR3 1555624342725664384
12.560798|44.095948|176.5484|#FAF3F2|0.715|gaia-1541410612315073536|HD 109344
12.627539|38.684042|176.8746|#FAF3F3|0.726|gaia-1521428118055816960|HD 109839
13.910854|37.064328|176.9398|#F9F2F5|0.718|gaia-1495415871971074304|HD 121458
14.811845|37.325694|176.9398|#FFC18C|0.12|gaia-1294646285684485120|2MASS J14484277+3719321
13.589172|34.896313|177.0051|#FFBE88|0.171|gaia-1471632683839360384|LP 269-19
12.676522|35.961836|177.0377|#FFB982|0.12|gaia-1518521529003631488|Gaia DR3 1518521529003631488
13.892221|45.640869|177.266|#FFC28D|0.254|gaia-1502966085171735552|LP 173-73
12.213395|50.459382|177.4617|#FFBB84|0.157|gaia-1548158486975880576|UCAC4 703-051818
13.08152|40.018138|177.4617|#FFAE75|0.12|gaia-1524216793077708928|LP 218-39
12.492275|49.762512|177.5595|#FFC894|0.365|gaia-1544559854137359744|G 198-56
13.191999|36.949156|177.5595|#FFC28D|0.304|gaia-1522397548010516480|G 164-51
14.915766|37.249014|177.9509|#FFBF89|0.268|gaia-1295162064013778688|LP 272-15
12.796378|39.507007|178.1466|#FFB780|0.12|gaia-1521794775119682048|LP 217-75
12.379657|38.640501|178.6032|#FFBE88|0.243|gaia-1532161039465858432|Gaia DR3 1532161039465858432
13.516416|50.552475|178.6358|#FFBD86|0.156|gaia-1559457721296606464|UCAC4 703-052797
13.133824|39.308814|178.6685|#FFC28D|0.275|gaia-1523959404277763072|G 164-45
14.028133|35.0514|178.7337|#FFD3A4|0.415|gaia-1482201945519853568|G 165-40
14.269353|45.963076|179.0599|#FFBC86|0.125|gaia-1505287051138307584|Gaia DR3 1505287051138307584
13.804301|34.709992|179.1251|#FFAC72|0.12|gaia-1471025169305389568|2MASS J13481553+3442362
12.579798|51.465261|179.1903|#FFBE89|0.137|gaia-1568809617444709632|2MASS J12344725+5127574
13.278932|36.810914|179.4186|#FFAB72|0.12|gaia-1474659879867389312|SDSS J131644.16+364839.9
12.740593|35.274155|179.5165|#FFB780|0.12|gaia-1515445507785915520|Gaia DR3 1515445507785915520
14.231145|33.900865|179.5165|#FFBA84|0.12|gaia-1478998999430978304|LSPM J1413+3354
14.461565|41.952972|179.5165|#FFE5C5|0.542|gaia-1491634483976350720|BD+42 2504
13.078172|41.78425|179.7122|#FFB882|0.12|gaia-1527459012350683648|LP 218-36
12.232852|41.76296|179.7448|#FFBE88|0.146|gaia-1536606914732749440|LP 216-77
14.253912|47.787203|179.9405|#FFC590|0.12|gaia-1507712195832529536|LP 174-181
13.378923|50.458715|180.0383|#FFBE89|0.185|gaia-1553692535155129216|2MASS J13224419+5027320
12.024258|39.549127|180.2992|#FFBE88|0.244|gaia-4034724786470719872|2MASS J12012731+3932590
13.958158|39.990461|180.3971|#FFAC73|0.12|gaia-1496311875159832960|2MASS J13572935+3959279
13.429349|37.925291|180.4949|#FFC18C|0.12|gaia-1476110479303305344|StKM 1-1068B
13.766694|37.524774|180.4949|#FCF3EF|0.712|gaia-1496343623558534656|HD 120004
14.534876|43.695664|180.4949|#FFB881|0.12|gaia-1493329312431002496|Gaia DR3 1493329312431002496
13.485089|42.250753|180.658|#FFB27A|0.12|gaia-1549264939269141760|Gaia DR3 1549264939269141760
13.389402|52.496396|180.7232|#FFAA71|0.12|gaia-1562917399055970816|2MASS J13232208+5229490
14.133738|45.54141|180.7232|#FFD09F|0.434|gaia-1505605664696872064|MCC 709B
