# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-3, -3, -1), generated 2026-09-08.
# 585 points.
12.158946|-44.863613|286.9198|#FFBA84|0.12|gaia-6144283873249941888|Gaia DR3 6144283873249941888
12.017108|-45.71244|287.0502|#FFBC86|0.179|gaia-6144130834975126400|Gaia DR3 6144130834975126400
12.306373|-45.660936|288.5505|#FFD5A8|0.451|gaia-6143618015880301056|UCAC4 222-062684
12.258605|-44.571556|288.8767|#FFAF76|0.12|gaia-6143882890805374592|Gaia DR3 6143882890805374592
12.68787|-43.754395|290.6706|#F2F0FF|0.12|gaia-6133551024854124928|GALEX J124116.3-434516
12.04733|-44.500634|290.801|#FFB178|0.12|gaia-6147429640438002688|2MASS J12025054-4430029
12.055363|-46.629389|291.4533|#FFC28C|0.229|gaia-6143248751771980800|Gaia DR3 6143248751771980800
12.79049|-43.731616|292.7253|#FEF4EA|0.654|gaia-6138711853259935616|HD 111144
12.618044|-44.322138|292.8558|#FFB179|0.163|gaia-6133420114251217664|2MASS J12370502-4419193
12.28686|-44.727563|293.0515|#FFB37B|0.12|gaia-6143823585896859776|2MASS J12171271-4443384
12.358777|-44.72096|293.0841|#FFB37B|0.12|gaia-6143725664941036416|Gaia DR3 6143725664941036416
12.380412|-46.100814|293.2472|#FFC996|0.352|gaia-6131359010987333760|Gaia DR3 6131359010987333760
12.09771|-43.12218|293.6386|#FFBA83|0.12|gaia-6147854498604024192|Gaia DR3 6147854498604024192
12.470666|-46.587707|293.8669|#FFBE89|0.241|gaia-6131990061943511168|Gaia DR3 6131990061943511168
12.025712|-44.14767|294.0952|#FFECD3|0.559|gaia-6147510596279111424|CD-43 7422
12.790735|-43.745094|294.1931|#FFB881|0.12|gaia-6138711647103027456|SCR J1247-4344B
12.070362|-46.802597|294.3235|#FFBC86|0.16|gaia-6143228994922388992|Gaia DR3 6143228994922388992
12.493691|-42.932515|295.4324|#FFD8AC|0.458|gaia-6145609227140321152|UCAC4 236-060043
12.19698|-46.476874|295.5629|#FFB780|0.12|gaia-6143102512427564544|2MASS J12114907-4628364
12.049699|-46.469276|295.8891|#FFB57D|0.12|gaia-6143277888830458880|SIPS J1202-4628
13.195202|-44.455265|296.15|#FFD1A1|0.424|gaia-6136226617685620096|UCAC3 92-147645
12.685755|-43.386522|296.2478|#FFBD87|0.186|gaia-6133573766703247488|Gaia DR3 6133573766703247488
12.935498|-42.984006|296.2478|#FFB983|0.142|gaia-6138673374650419456|WT 375
13.237686|-42.997649|296.3783|#FFBB85|0.12|gaia-6136553992973447168|Gaia DR3 6136553992973447168
13.069154|-44.821793|296.574|#FFC48F|0.322|gaia-6134808625636671232|Gaia DR3 6134808625636671232
12.516261|-43.021746|297.0632|#FFB57E|0.12|gaia-6145596273518531200|Gaia DR3 6145596273518531200
12.244563|-44.472874|297.5198|#FFB881|0.12|gaia-6144615169846828672|Gaia DR3 6144615169846828672
12.400094|-43.020004|297.5198|#FFB881|0.153|gaia-6146308623911968256|Gaia DR3 6146308623911968256
12.298309|-44.297698|297.5851|#FFBA84|0.267|gaia-6143984423832713856|Gaia DR3 6143984423832713856
13.505065|-42.446625|297.5851|#FFBD87|0.208|gaia-6088789597248163328|Gaia DR3 6088789597248163328
12.856894|-44.035783|297.8786|#FFF4E9|0.643|gaia-6138467559817876608|HD 111682
12.025771|-44.149878|298.0091|#FFBB85|0.12|gaia-6147510596279110912|Gaia DR3 6147510596279110912
12.241418|-42.970879|298.1395|#FFCC9A|0.424|gaia-6148011733063414144|Gaia DR3 6148011733063414144
12.458767|-45.421998|298.3352|#FFBB85|0.155|gaia-6132904752538763648|Gaia DR3 6132904752538763648
12.982929|-43.834561|298.7592|#FFB881|0.12|gaia-6135895630320430336|Gaia DR3 6135895630320430336
12.148259|-44.32618|298.9549|#E7EAFF|0.931|gaia-6144511953192701440|V* V788 Cen
12.311696|-47.600539|299.3137|#FFBE88|0.21|gaia-6130366461229252864|Gaia DR3 6130366461229252864
13.135662|-42.003456|300.1291|#FFB67E|0.12|gaia-6137638283234630656|Gaia DR3 6137638283234630656
13.083533|-42.145748|300.2596|#FFC793|0.314|gaia-6139123040545831680|Gaia DR3 6139123040545831680
12.936142|-45.655275|300.4226|#FFC28D|0.203|gaia-6134420498038564096|Gaia DR3 6134420498038564096
12.169335|-42.034711|300.9119|#FFB881|0.169|gaia-6147972494242065664|Gaia DR3 6147972494242065664
12.26455|-47.344487|300.9119|#FFC18C|0.229|gaia-6131193500128913664|Gaia DR3 6131193500128913664
12.555207|-45.019896|300.9771|#FFC996|0.364|gaia-6132975155641172736|Gaia DR3 6132975155641172736
13.55038|-43.040686|301.1402|#FFBE88|0.228|gaia-6112531489272702208|Gaia DR3 6112531489272702208
12.538552|-41.701482|301.1728|#FFB37B|0.12|gaia-6146491550861793152|Gaia DR3 6146491550861793152
13.338816|-44.429163|301.238|#FFC08A|0.259|gaia-6088203042161467264|Gaia DR3 6088203042161467264
13.604035|-42.425875|301.3359|#FFBF89|0.266|gaia-6112575499795573248|Gaia DR3 6112575499795573248
12.535569|-43.330629|301.5316|#FFBB85|0.184|gaia-6145408467486665728|Gaia DR3 6145408467486665728
13.706776|-42.353718|301.7925|#FFEDD7|0.587|gaia-6112247055057962496|CD-41 8066
13.575509|-42.158647|302.2491|#FFE1BC|0.59|gaia-6112637935742759680|CD-41 7947
12.59563|-43.396579|302.3143|#FFBC85|0.173|gaia-6133712889284002432|Gaia DR3 6133712889284002432
12.100112|-48.282262|302.7383|#FFBC86|0.161|gaia-6130663707327734656|Gaia DR3 6130663707327734656
12.40837|-42.968504|302.9993|#FFB77F|0.12|gaia-6146314258909097984|SIPS J1224-4258
12.969595|-42.29939|302.9993|#FFD6A9|0.441|gaia-6139258108677208064|UCAC4 239-058519
13.537457|-41.539284|303.619|#FFC18B|0.261|gaia-6112915837303329792|SCR J1332-4132
13.148587|-44.864298|304.3691|#FFBB84|0.174|gaia-6134716438465491712|Gaia DR3 6134716438465491712
13.232033|-43.607786|304.3691|#FFC490|0.291|gaia-6136474626273531904|SCR J1313-4336
13.317314|-41.737|304.3691|#FFC590|0.307|gaia-6137093410800492672|UCAC4 242-061325
12.017635|-44.982337|304.4996|#FFB27A|0.12|gaia-6144408770898584832|Gaia DR3 6144408770898584832
13.296996|-41.425378|304.6301|#D8D4C8|0.255|gaia-6137866161316196608|Gaia DR3 6137866161316196608
13.116878|-42.029878|304.7279|#F7F2F9|0.12|gaia-6136147860865539072|Gaia DR3 6136147860865539072
13.709532|-41.589915|304.7605|#FFB27A|0.12|gaia-6112331068920103680|Gaia DR3 6112331068920103680
13.127731|-46.330152|304.9236|#FFBA83|0.148|gaia-6086399155896554240|Gaia DR3 6086399155896554240
