# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-4, -2, 1), generated 2026-09-08.
# 39 points.
10.765947|-18.121899|342.986|#FFBD88|0.274|gaia-3555221787003520384|Gaia DR3 3555221787003520384
10.761537|-20.612983|354.6951|#FFC691|0.247|gaia-3553544997412204928|Gaia DR3 3553544997412204928
10.42219|-19.632307|354.9886|#FFCB98|0.12|gaia-5668559822229117056|Gaia DR3 5668559822229117056
10.542198|-16.836735|357.8262|#FFEED8|0.12|gaia-3747949510878590464|Gaia DR3 3747949510878590464
10.12323|-18.408759|358.9677|#FFE4C3|0.12|gaia-5672417664933657984|Gaia DR3 5672417664933657984
10.224283|-18.929978|362.7837|#FFB37C|0.12|gaia-5669358995384946816|Gaia DR3 5669358995384946816
10.289384|-17.116542|363.5339|#FFDCB3|0.12|gaia-5673026248914579200|Gaia DR3 5673026248914579200
10.187277|-21.736125|364.121|#FFC490|0.12|gaia-5666489647993227904|Gaia DR3 5666489647993227904
10.466495|-20.69852|367.0238|#FFBF89|0.12|gaia-5476155286052744704|Gaia DR3 5476155286052744704
10.72279|-16.506599|368.5567|#FFE2BE|0.12|gaia-3557131192023371520|Gaia DR3 3557131192023371520
10.472815|-17.609676|369.2743|#FFE6C6|0.12|gaia-3747507880866297728|Gaia DR3 3747507880866297728
10.778422|-21.957059|369.2743|#FEF4E9|0.12|gaia-3550385821330860160|Gaia DR3 3550385821330860160
10.76361|-24.139908|370.6767|#FFC590|0.12|gaia-5470679993024414336|Gaia DR3 5470679993024414336
10.747291|-17.587528|371.9161|#FFC692|0.12|gaia-3556809340060266880|Gaia DR3 3556809340060266880
10.359058|-21.237403|371.9813|#FFBC86|0.12|gaia-5667923033198835584|Gaia DR3 5667923033198835584
10.396749|-17.496087|372.438|#FFB881|0.12|gaia-3748207415074609024|Gaia DR3 3748207415074609024
9.943054|-18.031627|372.5684|#FFBC86|0.12|gaia-5672146910196385792|Gaia DR3 5672146910196385792
10.655009|-28.158302|373.1881|#FBF3F0|0.12|gaia-5456046081669588224|Gaia DR3 5456046081669588224
10.705971|-23.753924|374.3623|#FFC28D|0.12|gaia-5471378457786006272|Gaia DR3 5471378457786006272
10.169179|-17.901871|374.7863|#FEF4EA|0.12|gaia-5672550465323136640|Gaia DR3 5672550465323136640
10.606102|-29.733806|374.7863|#FFEFDA|0.22|gaia-5455416954862827008|Gaia DR3 5455416954862827008
10.486212|-23.272207|375.0798|#FFB27A|0.12|gaia-5474457743178220160|Gaia DR3 5474457743178220160
10.596691|-21.411105|375.2429|#FFBD88|0.12|gaia-5475168783604363776|Gaia DR3 5475168783604363776
10.100641|-20.946696|375.9605|#FFBB84|0.12|gaia-5667535803241702272|Gaia DR3 5667535803241702272
10.81455|-29.107164|376.1235|#FFC894|0.12|gaia-5456410290601685632|Gaia DR3 5456410290601685632
10.801562|-21.26561|376.3845|#FFC490|0.12|gaia-3550447806299855872|Gaia DR3 3550447806299855872
10.124399|-17.704296|376.7432|#FFC28D|0.12|gaia-5672739237725815424|Gaia DR3 5672739237725815424
10.802794|-28.700799|376.8085|#FFC38E|0.12|gaia-5456470939833765120|Gaia DR3 5456470939833765120
10.608781|-27.246994|377.0042|#FFC08B|0.12|gaia-5468165409932406400|Gaia DR3 5468165409932406400
10.446104|-19.729339|377.95|#FFEFDC|0.12|gaia-5668505744296048640|Gaia DR3 5668505744296048640
10.53069|-24.123981|378.5371|#FFBE89|0.12|gaia-5474163658178283264|Gaia DR3 5474163658178283264
10.36403|-19.640148|379.0589|#EDEDFF|0.12|gaia-5668654380229719296|Gaia DR3 5668654380229719296
10.011197|-20.271006|379.1242|#FFECD3|0.12|gaia-5670668754250644096|Gaia DR3 5670668754250644096
10.295556|-24.672552|379.646|#FFE1BD|0.12|gaia-5473188773615533312|Gaia DR3 5473188773615533312
10.285383|-16.139087|379.9722|#FFEFDC|0.12|gaia-3751601465736158080|Gaia DR3 3751601465736158080
10.746628|-28.889021|381.4073|#FFC793|0.12|gaia-5455705022611956096|Gaia DR3 5455705022611956096
10.562738|-24.069449|381.6356|#FFEBD1|0.12|gaia-5471258409155168384|Gaia DR3 5471258409155168384
10.645329|-26.536598|382.2553|#FFEAD0|0.12|gaia-5469903913908891264|Gaia DR3 5469903913908891264
10.910942|-21.123215|382.9402|#FFD2A3|0.145|gaia-3550685373826507136|Gaia DR3 3550685373826507136
