# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-4, 0, 0), generated 2026-09-08.
# 523 points.
11.741525|3.070248|301.3685|#FFB780|0.12|gaia-3799834674320020480|Gaia DR3 3799834674320020480
11.653858|0.847359|301.4011|#FFC28D|0.25|gaia-3798949120782889728|Gaia DR3 3798949120782889728
11.6271|0.839116|301.5642|#FFB57D|0.12|gaia-3798899466665751680|Gaia DR3 3798899466665751680
11.875208|4.767564|302.1187|#FFB37C|0.12|gaia-3896514319432750208|Gaia DR3 3896514319432750208
11.619192|1.364061|302.4448|#FFBD87|0.178|gaia-3799214652841209984|LSPM J1137+0121
11.879815|7.60368|303.0645|#FFF4E7|0.697|gaia-3899488910703696512|HD 103153
11.521737|1.082365|303.9125|#FFBA84|0.199|gaia-3798408229781815552|UCAC4 456-050728
11.698577|6.379875|304.043|#FFB982|0.12|gaia-3909758864702857344|LSPM J1141+0622
11.867765|0.117539|304.1082|#FFBD87|0.138|gaia-3795235417181600256|MGC 25456
11.832711|5.548526|304.1408|#FFB077|0.12|gaia-3897369533320730112|2MASS J11495777+0532547
11.94607|7.310842|304.1408|#FFC18C|0.298|gaia-3899242551380012160|Gaia DR3 3899242551380012160
11.783268|3.900166|304.2713|#FFBE88|0.188|gaia-3896013354448094336|UCAC4 470-045875
11.532867|3.131254|304.4017|#FFB881|0.12|gaia-3800443528883756800|Gaia DR3 3800443528883756800
11.505752|1.219156|305.0867|#FFBA83|0.129|gaia-3798420049531797504|LSPM J1130+0113
11.36134|1.756367|305.2824|#FFC793|0.12|gaia-3810663626902364288|Gaia DR3 3810663626902364288
11.57823|6.29318|305.2824|#FFAE76|0.12|gaia-3909537892930107904|Gaia DR3 3909537892930107904
11.390994|0.370071|305.315|#FFBD87|0.171|gaia-3797933962312938240|2MASS J11232767+0022122
11.956559|4.026031|305.6738|#FFBF89|0.218|gaia-3893215853270317312|Gaia DR3 3893215853270317312
11.633493|5.090489|306.0651|#FFBA83|0.12|gaia-3909138637065600256|LP 553-18
11.727193|5.431528|306.3261|#FDF3EC|0.12|gaia-3897222331906817408|Gaia DR3 3897222331906817408
11.927192|10.306492|306.4891|#FFB983|0.12|gaia-3912424630644586624|Gaia DR3 3912424630644586624
11.505639|6.415276|306.587|#FFBA84|0.223|gaia-3910325731666522752|UCAC4 483-052687
11.71534|8.67607|306.6848|#FFB27A|0.12|gaia-3912522620322863488|Gaia DR3 3912522620322863488
11.668373|0.117102|306.7175|#FFB27A|0.12|gaia-3795800183905092096|LSPM J1140+0007
11.407293|4.253584|306.8805|#FFCF9F|0.369|gaia-3812814576589439232|LP 552-52
11.469385|7.607165|306.9784|#FAF3F3|0.12|gaia-3913666009336762624|GALEX J112809.8+073626
11.349175|5.659641|307.1415|#FFBB84|0.123|gaia-3813964429528965120|Gaia DR3 3813964429528965120
11.673892|3.186691|307.3045|#FFB983|0.132|gaia-3800623092876589184|LSPM J1140+0311
11.466671|9.102101|307.3698|#FFB881|0.12|gaia-3914114373857841920|Gaia DR3 3914114373857841920
11.343608|0.329843|307.5002|#FFC38F|0.275|gaia-3798109093899289984|UCAC4 452-049901
11.700114|7.982995|307.9569|#FFB47D|0.12|gaia-3910210622247832192|Gaia DR3 3910210622247832192
11.14461|0.957811|308.1525|#FFE3C0|0.504|gaia-3804405309796637056|TYC 262-747-1
