# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (0, 2, 0), generated 2026-09-08.
# 389 points.
1.289188|81.841105|205.2502|#FFBE88|0.223|gaia-566261583661962368|Gaia DR3 566261583661962368
1.332818|83.001242|206.2287|#D8D4C8|0.12|gaia-572363392157988864|LSPM J0119+8300B
1.218422|81.112973|206.4244|#FFBA84|0.124|gaia-566126171933135232|Gaia DR3 566126171933135232
0.477759|76.310188|207.7616|#FFBE88|0.219|gaia-539983530637165440|UCAC4 832-000858
1.067799|77.458103|208.6749|#FFBC86|0.12|gaia-563230504982651776|Gaia DR3 563230504982651776
0.641197|80.11299|210.0121|#FFC08B|0.278|gaia-564896608695977856|Gaia DR3 564896608695977856
0.89439|85.775001|210.0121|#FFC691|0.323|gaia-574073201460657408|G 265-4
0.039643|75.454228|211.4472|#FFB982|0.12|gaia-539685872223854208|Gaia DR3 539685872223854208
1.041423|80.775502|211.8386|#FFC08A|0.213|gaia-565748043012241280|Gaia DR3 565748043012241280
0.662058|70.782948|211.969|#FFB983|0.13|gaia-536249348630457088|Gaia DR3 536249348630457088
0.651991|72.149788|212.4909|#FFCB99|0.407|gaia-536801093011646848|PM J00391+7208
0.932173|85.750945|212.7518|#FFD1A1|0.12|gaia-574070177802252288|Gaia DR3 574070177802252288
0.135961|75.554798|212.7844|#FFCF9F|0.379|gaia-539696347645773184|Gaia DR3 539696347645773184
1.332691|83.000889|213.0127|#FFBF8A|0.262|gaia-572363392160630656|LSPM J0119+8300A
0.888628|82.799785|214.1869|#FFBE89|0.219|gaia-567137894429111168|Gaia DR3 567137894429111168
1.159683|71.916456|214.6109|#FFB57D|0.12|gaia-535091975206775808|Gaia DR3 535091975206775808
0.932558|85.75359|214.6761|#FFD5A7|0.12|gaia-574070280881467264|Gaia DR3 574070280881467264
1.077771|68.406195|215.622|#FFC28D|0.272|gaia-526621406347566848|LSPM J0104+6824
0.219508|70.481272|216.1112|#FFB881|0.12|gaia-531154383548849024|2MASS J00131032+7028541
0.80267|72.674546|216.1112|#FFE2BF|0.886|gaia-536756498370673792|HD 4440
0.662195|70.781951|216.2417|#FFC793|0.325|gaia-536249348634806528|Gaia DR3 536249348634806528
0.884793|68.308359|216.2743|#FFBD87|0.173|gaia-526759188897108480|2MASS J00530498+6818306
0.826425|67.952519|216.5352|#FFE2BE|0.538|gaia-526731318847868160|Ross 316
0.863371|85.846597|217.5789|#FFB37C|0.12|gaia-574075159965730816|Gaia DR3 574075159965730816
0.834572|71.568788|218.1008|#FFB57D|0.12|gaia-536572673772101504|Gaia DR3 536572673772101504
0.49582|76.594257|218.5248|#FFC38E|0.262|gaia-540035963597652096|LSPM J0029+7635
0.014797|67.490747|219.3075|#FFBD88|0.23|gaia-528573657958896384|LSPM J0000+6729
0.100505|77.400723|219.6663|#FFB67F|0.12|gaia-540367741230922112|LP 12-282
0.100631|71.138134|219.6989|#FFBD87|0.187|gaia-531252858559084416|Gaia DR3 531252858559084416
1.221783|83.044157|220.2208|#FFCC99|0.369|gaia-573095319010756352|Gaia DR3 573095319010756352
0.524678|74.40764|220.2534|#FEF4EB|0.12|gaia-539346324992314496|GALEX J003129.0+742427
1.362136|76.128451|221.4928|#FFB881|0.12|gaia-560079850117643904|Gaia DR3 560079850117643904
