# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (1, -4, -2), generated 2026-09-08.
# 37 points.
20.919963|-63.298637|338.4199|#FFB27A|0.12|gaia-6450528746692494720|Gaia DR3 6450528746692494720
21.453751|-61.280864|344.8778|#FFE8CA|0.12|gaia-6452050780022707968|Gaia DR3 6452050780022707968
21.034008|-64.932967|345.5627|#FFBB84|0.12|gaia-6449387217402539392|Gaia DR3 6449387217402539392
21.442323|-59.941624|351.727|#FFF2E3|0.12|gaia-6452419739189151616|Gaia DR3 6452419739189151616
21.02393|-60.309208|352.412|#FFBA84|0.12|gaia-6452909464244548736|Gaia DR3 6452909464244548736
21.134609|-61.505835|353.3252|#FFB881|0.12|gaia-6452557036408708736|Gaia DR3 6452557036408708736
20.720734|-59.307686|353.9123|#FFBF89|0.257|gaia-6455466760789121792|Gaia DR3 6455466760789121792
20.896663|-65.767555|355.38|#FFB983|0.12|gaia-6425416283365669376|Gaia DR3 6425416283365669376
20.458322|-58.744174|358.0871|#FFF3E6|0.12|gaia-6467411472858381696|Gaia DR3 6467411472858381696
20.697133|-60.880823|361.4465|#FFC28C|0.15|gaia-6454194312301351424|Gaia DR3 6454194312301351424
20.411729|-62.02932|362.2619|#FFC28D|0.12|gaia-6430795987603185920|Gaia DR3 6430795987603185920
21.562751|-61.893045|363.4361|#FFF2E2|0.12|gaia-6403896229470482688|Gaia DR3 6403896229470482688
20.704326|-61.747243|363.4687|#FFC08B|0.12|gaia-6454083467784240384|Gaia DR3 6454083467784240384
21.782314|-59.858437|363.9253|#FFCC9B|0.12|gaia-6410209419078657664|Gaia DR3 6410209419078657664
20.557385|-56.168795|365.2951|#FFC08A|0.12|gaia-6469014870050650496|Gaia DR3 6469014870050650496
21.668412|-61.18332|366.7628|#FFB983|0.12|gaia-6404027273217940096|Gaia DR3 6404027273217940096
20.875217|-65.929335|366.8607|#FFBA84|0.12|gaia-6425407624714588160|Gaia DR3 6425407624714588160
20.916051|-64.027522|368.4262|#FFCE9D|0.12|gaia-6450423404031111552|Gaia DR3 6450423404031111552
21.391253|-55.709338|368.5567|#FFD1A2|0.12|gaia-6463230309311480960|Gaia DR3 6463230309311480960
21.080327|-64.530156|369.6004|#FFE8CA|0.12|gaia-6449422573571428864|Gaia DR3 6449422573571428864
20.793197|-62.739868|369.9266|#FFBD88|0.12|gaia-6450781737445754624|Gaia DR3 6450781737445754624
21.570624|-60.259637|371.166|#FFCC99|0.12|gaia-6452174749959363712|Gaia DR3 6452174749959363712
20.646706|-58.085486|372.9272|#FFBD87|0.12|gaia-6467873924873181568|Gaia DR3 6467873924873181568
21.715864|-55.155884|373.5795|#FFCF9F|0.12|gaia-6460925831726430464|Gaia DR3 6460925831726430464
20.373085|-55.092529|375.6017|#FFB982|0.12|gaia-6472293819883117824|Gaia DR3 6472293819883117824
20.101528|-54.239145|376.678|#FFBB85|0.12|gaia-6473142367982552320|Gaia DR3 6473142367982552320
22.018435|-57.253892|376.7106|#FFCB99|0.12|gaia-6412248321658950400|Gaia DR3 6412248321658950400
21.06308|-61.583076|377.4608|#FFD9AD|0.12|gaia-6451110800660910976|Gaia DR3 6451110800660910976
20.240726|-54.308765|377.8195|#FFE0BA|0.12|gaia-6472987409856019072|Gaia DR3 6472987409856019072
21.156235|-66.5203|377.8522|#FFBE88|0.12|gaia-6401067903312204416|Gaia DR3 6401067903312204416
21.615037|-59.61779|378.5045|#FFBE88|0.12|gaia-6458224610828092672|Gaia DR3 6458224610828092672
21.570193|-56.048784|378.5371|#FFDCB3|0.12|gaia-6460065017198477440|Gaia DR3 6460065017198477440
21.517103|-62.554991|378.8632|#FFC995|0.193|gaia-6403481129472806272|Gaia DR3 6403481129472806272
21.794165|-53.72972|378.8959|#FFC28D|0.12|gaia-6461396216542516096|Gaia DR3 6461396216542516096
20.611863|-53.032513|380.755|#FFE6C6|0.12|gaia-6474103689036148992|Gaia DR3 6474103689036148992
20.70107|-57.4005|380.9833|#FFEBD1|0.12|gaia-6467922406464088704|Gaia DR3 6467922406464088704
21.612534|-56.102777|382.0596|#FFEDD7|0.12|gaia-6460031413374309888|Gaia DR3 6460031413374309888
