# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (1, 3, -2), generated 2026-09-08.
# 23 points.
21.127312|62.225856|346.4107|#FFF2E3|0.68|gaia-2195714451407861888|Gaia DR3 2195714451407861888
21.187|60.069705|346.5738|#FFAE75|0.12|gaia-2192291328107394688|Gaia DR3 2192291328107394688
20.900945|64.518713|347.8132|#FFB078|0.12|gaia-2197495247925669504|Gaia DR3 2197495247925669504
21.392037|62.673378|348.6612|#EFEEFF|0.12|gaia-2193159598700480128|Gaia DR3 2193159598700480128
21.567074|60.459104|348.9221|#FFBA83|0.12|gaia-2191754865221234304|Gaia DR3 2191754865221234304
20.554625|62.025321|349.0852|#FFBC86|0.12|gaia-2195315672281883008|Gaia DR3 2195315672281883008
20.954829|63.78275|361.5443|#FFBA83|0.12|gaia-2196841656984493184|Gaia DR3 2196841656984493184
21.175764|56.222129|362.1967|#FFB67F|0.12|gaia-2177337106686285312|Gaia DR3 2177337106686285312
21.218436|63.868592|363.5991|#FFBB84|0.12|gaia-2196338042001528960|Gaia DR3 2196338042001528960
20.547844|59.506171|364.5124|#D8D4C8|0.12|gaia-2194411186527176832|Gaia DR3 2194411186527176832
21.269914|56.413907|366.3062|#FFC18C|0.12|gaia-2177379407816312064|Gaia DR3 2177379407816312064
20.536421|56.648143|366.5019|#F4F1FF|0.12|gaia-2187154336771429632|Gaia DR3 2187154336771429632
20.100013|57.685279|367.089|#FFC591|0.12|gaia-2234602661555105792|Gaia DR3 2234602661555105792
21.362653|60.144982|369.5026|#FFBB85|0.12|gaia-2191867599523667968|Gaia DR3 2191867599523667968
21.538661|55.482672|369.9266|#FFB37B|0.12|gaia-2177608205021665408|Gaia DR3 2177608205021665408
21.146968|58.734229|372.1444|#FFEEDA|0.12|gaia-2189870031712662912|Gaia DR3 2189870031712662912
20.082462|57.31854|373.8078|#FFCC9A|0.12|gaia-2234567717702476800|Gaia DR3 2234567717702476800
22.018906|55.62882|375.2755|#FFBD87|0.12|gaia-2197888323342084736|Gaia DR3 2197888323342084736
21.330913|54.290804|376.9715|#FFB077|0.12|gaia-2176137642588014720|Gaia DR3 2176137642588014720
21.440994|59.193308|377.7217|#FFEED9|0.12|gaia-2191568536652848512|Gaia DR3 2191568536652848512
19.954903|55.021178|378.2436|#FAF3F3|0.12|gaia-2233863171264466560|Gaia DR3 2233863171264466560
21.160032|54.305786|385.1581|#D8D4C8|0.12|gaia-2176589924108359424|Gaia DR3 2176589924108359424
20.127691|54.61551|386.9193|#FFEACE|0.12|gaia-2185804106424646016|Gaia DR3 2185804106424646016
