# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (2, -2, 2), generated 2026-09-08.
# 124 points.
3.017956|-22.884384|309.0332|#FFBB85|0.193|gaia-5078270482120024960|Gaia DR3 5078270482120024960
3.002824|-19.173927|309.2615|#FFCF9F|0.409|gaia-5152132340378198016|Gaia DR3 5152132340378198016
2.994331|-23.732768|313.0123|#FFBB85|0.187|gaia-5077920699983256448|Gaia DR3 5077920699983256448
3.011141|-19.326029|313.632|#FFDFB8|0.518|gaia-5104082445293919488|TYC 5867-977-1
3.060669|-22.609537|313.7298|#FFC48F|0.323|gaia-5078466710585222528|Gaia DR3 5078466710585222528
2.979487|-22.325941|314.5778|#FFBF89|0.226|gaia-5078359954878654720|Gaia DR3 5078359954878654720
3.133603|-21.417439|315.5237|#FFBD86|0.151|gaia-5078840304020556032|Gaia DR3 5078840304020556032
2.87884|-20.075374|316.3065|#D8D4C8|0.12|gaia-5128003076670378752|Gaia DR3 5128003076670378752
2.880219|-18.602473|317.1218|#FFC48F|0.282|gaia-5128438002238663552|UCAC4 357-003127
3.150848|-20.995427|317.1871|#FFB37C|0.12|gaia-5102876487197100416|Gaia DR3 5102876487197100416
3.197506|-18.39976|317.3175|#FFC08B|0.205|gaia-5104390205470957952|Gaia DR3 5104390205470957952
3.169478|-20.160723|317.7089|#FFBD88|0.188|gaia-5103084226175226496|Gaia DR3 5103084226175226496
2.93513|-20.924449|317.872|#FFC08B|0.232|gaia-5079851957796772864|Gaia DR3 5079851957796772864
2.876797|-18.460271|317.9372|#FFB780|0.12|gaia-5129190927185220992|Gaia DR3 5129190927185220992
2.788451|-18.831461|318.2634|#FFEDD6|0.58|gaia-5129127911425030272|BD-19 526
2.980645|-18.833123|318.5895|#FFB77F|0.12|gaia-5152202880921038208|LP 771-59
3.05189|-23.657751|319.568|#FFF2E4|0.617|gaia-5077962996821438208|HD 19046
2.847041|-20.953291|319.6659|#FFB37C|0.12|gaia-5127514854852250112|Gaia DR3 5127514854852250112
3.035282|-25.45297|319.992|#FCF3EE|0.711|gaia-5073014679099730432|HD 18946
2.890521|-22.995553|320.677|#D8D4C8|0.12|gaia-5078957333288491648|Gaia DR3 5078957333288491648
3.098393|-20.398736|321.7859|#FEF4EB|0.655|gaia-5103719400298937984|HD 19328
2.891759|-24.649368|321.9816|#FFD5A8|0.427|gaia-5076450137541067264|LP 830-61
3.101957|-19.349583|322.5687|#FFBC86|0.171|gaia-5104128865300868608|Gaia DR3 5104128865300868608
2.937835|-18.260609|322.6665|#FFC893|0.275|gaia-5152480198369382784|Gaia DR3 5152480198369382784
3.208669|-21.979417|323.7428|#FFC793|0.33|gaia-5099579257983488768|Gaia DR3 5099579257983488768
3.187021|-18.530435|324.069|#FFD7AB|0.446|gaia-5104393293551575040|UCAC4 358-003574
3.045261|-25.132076|324.7539|#FFEACF|0.548|gaia-5074717444654212864|TYC 6441-631-1
2.878827|-20.074895|325.2758|#FFCA97|0.371|gaia-5128003076670378624|Gaia DR3 5128003076670378624
3.20537|-21.159228|325.4388|#FFBA83|0.12|gaia-5102646448748739584|Gaia DR3 5102646448748739584
2.922762|-20.291922|326.2542|#FFBB85|0.184|gaia-5127951090386264832|Gaia DR3 5127951090386264832
2.969992|-24.863571|326.2542|#FFCD9C|0.406|gaia-5076276586502331008|Gaia DR3 5076276586502331008
2.776809|-17.907971|326.4173|#FFBD87|0.226|gaia-5129435018766691072|Gaia DR3 5129435018766691072
2.783048|-21.935074|326.9392|#F8F2F7|0.12|gaia-5125866034087139840|Gaia DR3 5125866034087139840
3.026292|-18.709623|326.9392|#FFEDD6|0.12|gaia-5152182844898436992|Gaia DR3 5152182844898436992
3.300265|-18.685435|326.9392|#FFBE89|0.278|gaia-5103630339856718208|Gaia DR3 5103630339856718208
2.936607|-18.255221|327.5915|#FFB67E|0.12|gaia-5152483149011458304|Gaia DR3 5152483149011458304
3.015389|-25.562719|327.5915|#FFC28D|0.26|gaia-5073177235022179072|Gaia DR3 5073177235022179072
2.947565|-28.001016|327.8524|#FFBD87|0.146|gaia-5072225367189956992|Gaia DR3 5072225367189956992
3.080811|-19.683811|328.2764|#FFBB84|0.167|gaia-5103835948531400704|Gaia DR3 5103835948531400704
2.929343|-26.764064|328.5047|#FFAC73|0.12|gaia-5072643078528243200|Gaia DR3 5072643078528243200
2.899497|-26.3783|328.5373|#FFB67E|0.12|gaia-5072713378553852928|Gaia DR3 5072713378553852928
3.258159|-18.175037|329.3201|#F8F2F8|0.834|gaia-5104469748265354752|Gaia DR3 5104469748265354752
2.855289|-20.473673|329.5484|#FFB881|0.12|gaia-5127614395014749824|Gaia DR3 5127614395014749824
2.991775|-21.982951|330.005|#FFB57E|0.12|gaia-5079123393905155328|Gaia DR3 5079123393905155328
3.162655|-25.459813|330.2659|#E6EAFF|0.12|gaia-5073802646684020992|Gaia DR3 5073802646684020992
2.890529|-22.995899|330.4616|#FFC490|0.12|gaia-5078957333290044288|Gaia DR3 5078957333290044288
3.092599|-19.330033|330.7878|#FFBE88|0.219|gaia-5104128624782700928|Gaia DR3 5104128624782700928
2.920496|-19.512926|331.1466|#DBE2FF|0.12|gaia-5128141645199595136|Gaia DR3 5128141645199595136
2.98516|-26.084273|332.0924|#FFB179|0.12|gaia-5073061958099851776|Gaia DR3 5073061958099851776
2.809178|-19.010108|332.7121|#FFB179|0.12|gaia-5129068464782289920|Gaia DR3 5129068464782289920
3.00641|-22.989872|332.9404|#FFB37C|0.12|gaia-5078244884114947072|Gaia DR3 5078244884114947072
3.31489|-19.678772|333.1035|#FFB780|0.12|gaia-5103308182949660032|Gaia DR3 5103308182949660032
2.911709|-27.830999|333.2666|#FFB57E|0.12|gaia-5072287145998311936|Gaia DR3 5072287145998311936
2.796893|-23.707731|333.5927|#FEF4EA|0.12|gaia-5077370355757683584|Gaia DR3 5077370355757683584
